                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.66435,                 1.0793,                0.37057,                0.80279,                0.84995,                   0.86,                0.92133,                0.79844,                0.84466,                0.84963,                0.90886,                0.59577,                    nan,                    nan,                    nan,                    nan,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.6469,                 1.0818,                0.35983,                0.80425,                0.83343,                 0.8675,                0.90865,                0.78745,                0.83545,                0.85875,                0.90057,                0.58931,                    nan,                    nan,                    nan,                    nan,              0.0008516,              0.0008516,              0.0008516
                     60,                0.65994,                 1.0812,                0.36405,                0.80621,                0.82815,                0.86625,                0.91029,                 0.7895,                0.82456,                 0.8625,                0.90387,                0.60133,                    nan,                    nan,                    nan,                    nan,              0.0008318,              0.0008318,              0.0008318
                     61,                0.66245,                 1.0874,                0.36246,                 0.8047,                0.79977,                0.87125,                0.88836,                0.76883,                 0.7952,                0.86375,                0.87629,                0.55773,                    nan,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     62,                0.65917,                 1.0993,                0.36028,                0.80234,                0.79708,                0.87375,                0.89593,                0.78292,                0.79469,                0.86607,                0.88535,                0.58246,                    nan,                    nan,                    nan,                    nan,              0.0007922,              0.0007922,              0.0007922
                     63,                0.64149,                 1.0761,                0.35609,                0.80362,                0.76678,                0.86125,                0.89425,                0.77751,                 0.7601,                 0.8525,                0.88074,                0.56682,                    nan,                    nan,                    nan,                    nan,              0.0007724,              0.0007724,              0.0007724
                     64,                0.63148,                 1.0614,                 0.3578,                 0.8036,                0.75599,                0.84875,                0.85159,                 0.7462,                  0.753,                0.83875,                0.84088,                0.55851,                    nan,                    nan,                    nan,                    nan,              0.0007526,              0.0007526,              0.0007526
                     65,                0.66265,                 1.0984,                0.36998,                0.80301,                0.85414,                0.84914,                0.93369,                0.81291,                0.85319,                   0.84,                0.92233,                0.61308,                    nan,                    nan,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     66,                0.65353,                   1.09,                0.36097,                0.80347,                0.75889,                 0.8225,                0.89623,                0.77923,                0.76351,                0.82125,                0.89048,                 0.5773,                    nan,                    nan,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     67,                0.64909,                 1.0656,                0.35934,                0.80383,                 0.8188,                  0.835,                0.91698,                0.80156,                 0.8145,                0.82326,                0.90487,                0.59128,                    nan,                    nan,                    nan,                    nan,              0.0006932,              0.0006932,              0.0006932
                     68,                0.63812,                 1.0577,                0.35587,                0.80209,                0.77135,                 0.8525,                0.89196,                0.77758,                0.76935,                 0.8425,                0.88037,                0.57147,                    nan,                    nan,                    nan,                    nan,              0.0006734,              0.0006734,              0.0006734
                     69,                0.64349,                 1.0702,                0.35328,                0.80041,                0.77297,                0.86395,                0.87472,                0.75861,                0.76909,                0.85375,                0.86165,                0.54975,                    nan,                    nan,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                     70,                0.65361,                 1.0838,                0.35862,                0.80108,                 0.7851,                  0.855,                0.90241,                0.77639,                0.78042,                0.84125,                0.88293,                0.54319,                    nan,                    nan,                    nan,                    nan,              0.0006338,              0.0006338,              0.0006338
